9/17,at Pirates,W 9-6,85-61,Richard(4-2),Morton(9-8)
9/18,Cardinals,W 8-3,86-61,Hunter(2-0),Maness(4-2)
9/19,Cardinals,W 5-4,87-61,Cahill(1-0),Wacha(16-6)
9/20,Cardinals,L 3-4,87-62,Martinez(14-7),Lester(10-11)
9/21,Brewers,W 9-5,88-62,Hammel(9-6),Peralta(5-10)
9/22,Brewers,W 4-0,89-62,Arrieta(20-6),Cravy(0-8)
9/23,Brewers,L 1-4,89-63,Davies(2-2),Hendricks(7-7)
9/25,Pirates,L 2-3,89-64,Cole(18-8),Lester(10-12)
9/26,Pirates,L 0-4,89-65,Liriano(12-7),Hammel(9-7)
9/27,Pirates,W 4-0,90-65,Arrieta(21-6),Burnett(9-6)
9/28,Royals,W 1-0,91-65,Rodney(2-0),Almonte(0-2)
9/29,at Reds,W 4-1,92-65,Haren(3-2),Smith(0-3)
9/30,at Reds,W 10-3,93-65,Lester(11-12),DeSclafani(9-13)
10/1,at Reds,W 5-3,94-65,Hammel(10-7),Lamb(1-5)
10/2,at Brewers,W 6-1,95-65,Arrieta(22-6),Pena(2-1)
10/3,at Brewers,W 1-0,96-65,Hendricks(8-7),Wagner(0-2)
10/4,at Brewers,W 3-1,97-65,Haren(4-2),Lopez(1-1)
10/7,at Pirates,W 4-0,1-0,Arrieta(1-0),Cole(0-1)
10/9,at Cardinals,L 0-4,0-1,Lackey(1-0),Lester(0-1)
10/10,at Cardinals,W 6-3,1-1,Wood(1-0),Garcia(0-1)
10/12,Cardinals,W 8-6,2-1,Arrieta(2-0),Wacha(0-1)
10/13,Cardinals,W 6-4,3-1,Cahill(1-0),Siegrist(0-1)
