7/23,at Brewers,L 1-6,58-38,Davies(7-4),Lackey(7-7)
7/24,at Brewers,W 6-5,59-38,Nathan(1-0),Smith(1-3)
7/25,at White Sox,L 4-5,59-39,Jennings(4-2),Montgomery(0-1)
7/26,at White Sox,L 0-3,59-40,Shields(3-5),Hendricks(9-7)
7/27,White Sox,W 8-1,60-40,Hammel(10-5),Ranaudo(0-1)
7/28,White Sox,W 3-1,61-40,Lackey(8-7),Sale(14-4)
7/29,Mariners,W 12-1,62-40,Lester(11-4),Iwakuma(11-7)
7/30,Mariners,L 1-4,62-41,Miley(7-8),Arrieta(12-5)
7/31,Mariners,W 7-6,63-41,Rondon(2-2),Martin(1-1)
8/1,Marlins,W 5-0,64-41,Hendricks(10-7),Conley(7-6)
8/2,Marlins,W 3-2,65-41,Hammel(11-5),Fernandez(12-6)
8/3,Marlins,W 5-4,66-41,Grimm(1-0),Ramos(1-1)
8/5,at Athletics,W 7-2,67-41,Lester(12-4),Overton(1-3)
8/6,at Athletics,W 4-0,68-41,Arrieta(13-5),Gray(5-11)
8/7,at Athletics,W 3-1,69-41,Hendricks(11-7),Manaea(3-7)
8/9,Angels,W 5-1,70-41,Lackey(9-7),Weaver(8-9)
8/10,Angels,W 3-1,71-41,Hammel(12-5),Nolasco(0-1)
8/11,Cardinals,W 4-3,72-41,Montgomery(1-1),Duke(0-1)
8/12,Cardinals,W 13-2,73-41,Arrieta(14-5),Wainwright(9-7)
8/13,Cardinals,L 4-8,73-42,Reyes(1-0),Edwards Jr.(0-1)
8/14,Cardinals,L 4-6,73-43,Bowman(2-4),Rondon(2-3)
8/16,Brewers,W 4-0,74-43,Cahill(2-3),Garza(4-5)
8/16,Brewers,W 4-1,75-43,Hammel(13-5),Marinez(0-1)
8/17,Brewers,W 6-1,76-43,Lester(13-4),Nelson(6-13)
8/18,Brewers,W 9-6,77-43,Arrieta(15-5),Davies(9-6)
8/19,at Rockies,L 6-7,77-44,Carasiti(1-0),Chapman(0-1)
8/20,at Rockies,W 9-2,78-44,Cahill(3-3),Hoffman(0-1)
8/21,at Rockies,L 4-11,78-45,De La Rosa(8-7),Hammel(13-6)
8/22,at Padres,W 5-1,79-45,Lester(14-4),Jackson(3-3)
8/23,at Padres,W 5-3,80-45,Arrieta(16-5),Friedrich(4-10)
8/24,at Padres,W 6-3,81-45,Hendricks(12-7),Clemens(1-3)
8/26,at Dodgers,W 6-4,82-45,Wood(4-0),Liberatore(2-1)
8/27,at Dodgers,L 2-3,82-46,Urias(5-2),Hammel(13-7)
8/28,at Dodgers,L 0-1,82-47,Blanton(5-2),Cahill(3-4)
8/29,Pirates,W 8-7,83-47,Zastryzny(1-0),Locke(9-8)
8/30,Pirates,W 3-0,84-47,Hendricks(13-7),Kuhl(3-2)
8/31,Pirates,W 6-5,85-47,Hammel(14-7),Vogelsong(3-4)
9/1,Giants,W 5-4,86-47,Smith(1-0),Strickland(3-2)
9/2,Giants,W 2-1,87-47,Lester(15-4),Suarez(3-3)
9/3,Giants,L 2-3,87-48,Bumgarner(14-8),Arrieta(16-6)
9/4,Giants,W 3-2,88-48,Cahill(4-4),Reynolds(0-1)
9/5,at Brewers,W 7-2,89-48,Hendricks(14-7),Davies(10-7)
9/6,at Brewers,L 5-12,89-49,Peralta(6-9),Hammel(14-8)
9/7,at Brewers,L 1-2,89-50,Knebel(1-2),Smith(1-1)
9/9,at Astros,W 2-0,90-50,Lester(16-4),Musgrove(2-4)
9/10,at Astros,L 1-2,90-51,McHugh(10-10),Lackey(9-8)
9/11,at Astros,W 9-5,91-51,Arrieta(17-6),Fiers(10-7)
9/12,at Cardinals,W 4-1,92-51,Hendricks(15-7),Leake(9-10)
9/13,at Cardinals,L 2-4,92-52,Reyes(2-1),Hammel(14-9)
9/14,at Cardinals,W 7-0,93-52,Lester(17-4),Martinez(14-8)
9/15,Brewers,L 4-5,93-53,Nelson(8-14),Grimm(1-1)
9/16,Brewers,W 5-4,94-53,Chapman(1-1),Boyer(2-4)
9/17,Brewers,L 3-11,94-54,Davies(11-7),Arrieta(17-7)
9/18,Brewers,L 1-3,94-55,Peralta(7-10),Hendricks(15-8)
9/19,Reds,W 5-2,95-55,Hammel(15-9),Wood(6-4)
9/20,Reds,W 6-1,96-55,Lester(18-4),Smith(3-2)
9/21,Reds,W 9-2,97-55,Lackey(10-8),Stephenson(2-2)
9/23,Cardinals,W 5-0,98-55,Arrieta(18-7),Leake(9-11)
9/24,Cardinals,L 4-10,98-56,Reyes(4-1),Hammel(15-10)
9/25,Cardinals,W 3-1,99-56,Lester(19-4),Martinez(15-9)
9/26,at Pirates,W 12-2,100-56,Hendricks(16-8),Kuhl(5-4)
9/27,at Pirates,W 6-4,101-56,Lackey(11-8),Vogelsong(3-7)
9/28,at Pirates,L 4-8,101-57,Taillon(5-4),Arrieta(18-8)
9/29,at Pirates,T 1-1,101-57,Wood(4-0),Nova(12-8)
9/30,at Reds,W 7-3,102-57,Buchanan(1-0),Smith(3-3)
10/1,at Reds,L 4-7,102-58,Adleman(4-4),Lester(19-5)
10/2,at Reds,W 7-4,103-58,Grimm(2-1),Iglesias(3-2)
10/7,Giants,W 1-0,1-0,Lester(1-0),Cueto(0-1)
10/8,Giants,W 5-2,2-0,Wood(1-0),Samardzija(0-1)
10/10,at Giants,L 5-6,2-1,Blach(1-0),Montgomery(0-1)
10/11,at Giants,W 6-5,3-1,Rondon(1-0),Smith(0-1)
10/15,Dodgers,W 8-4,1-0,Chapman(1-0),Blanton(0-1)
10/16,Dodgers,L 0-1,1-1,Kershaw(1-0),Hendricks(0-1)
10/18,at Dodgers,L 0-6,1-2,Hill(1-0),Arrieta(0-1)
10/19,at Dodgers,W 10-2,2-2,Montgomery(1-0),Urias(0-1)
10/20,at Dodgers,W 8-4,3-2,Lester(1-0),Blanton(0-2)
10/22,Dodgers,W 5-0,4-2,Hendricks(1-1),Kershaw(1-1)
10/25,at Indians,L 0-6,0-1,Kluber(1-0),Lester(0-1)
10/26,at Indians,W 5-1,1-1,Arrieta(1-0),Bauer(0-1)
10/28,Indians,L 0-1,1-2,Miller(1-0),Edwards Jr.(0-1)
10/29,Indians,L 2-7,1-3,Kluber(2-0),Lackey(0-1)
10/30,Indians,W 3-2,2-3,Lester(1-1),Bauer(0-2)
11/1,at Indians,W 9-3,3-3,Arrieta(2-0),Tomlin(0-1)
11/2,at Indians,W 8-7,4-3,Chapman(1-0),Shaw(0-1)
